,Unnamed: 0,rank,tax_id,tax_name,colind,CC11CM15,CC11CM49,CC11CM87,CC11CM64,CC11CM85,CC11CM97,CC11CM80,CC11CM24,CC11CM41,CC11CM67,CC11CM6,CC11CM90,CC11CM18,CC11CM4,CC11CM13,CC11CM14,CC11CM51,CC11CM65,CC11CM74,CC11CM45,CC11CM50,CC11CM34,CC11CM84,CC11CM27,CC11CM78,CC11CM32,CC11CM81,CC11CM20,CC11CM75,CC11CM12,CC11CM28,CC11CM30,CC11CM68,CC11CM66,CC11CM58,CC11CM61,CC11CM22,CC11CM95,CC11CM17,CC11CM70,CC11CM86,CC11CM88,CC11CM54,CC11CM60,CC11CM16,CC11CM48,CC11CM35,CC11CM91,CC11CM1,CC11CM99,CC11CM72,CC11CM79,CC11CM94,CC11CM82,CC11CM93,CC11CM39,CC11CM42,CC11CM0,CC11CM76,CC11CM69,CC11CM2,CC11CM57,CC11CM63,CC11CM62,CC11CM44,CC11CM37,CC11CM33,CC11CM53,CC11CM9,CC11CM23,CC11CM55,CC11CM59,CC11CM73,CC11CM38,CC11CM25,CC11CM46,CC11CM5,CC11CM83,CC11CM11,CC11CM36,CC11CM26,CC11CM43,CC11CM8,CC11CM19,CC11CM3,CC11CM98,CC11CM77,CC11CM89,CC11CM10,CC11CM71,CC11CM21,CC11CM92,CC11CM29,CC11CM56,CC11CM52,CC11CM96,CC11CM47,CC11CM31,CC11CM40,CC11CM7
425,425,genus,1301,Streptococcus,BASW01000028.214.1757,,,,,,,,,,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,426,genus,165779,Anaerococcus,CAJJ020000053.1.1240,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
427,427,species,818,Bacteroides thetaiotaomicron,CDQO01001406.1637.3145,,,,,,,,,,1062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,428,genus,841,Roseburia,CP003040.3095887.3097421,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,406.0,,,,,,,113.0,,,,,,,,,,,,,
429,429,genus,1678,Bifidobacterium,CP007443.1851067.1852581,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,430,genus,904,Acidaminococcus,EF028678.1.1367,,,,,,,,,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,431,genus,2147,Acholeplasma,FJ590758.1.1575,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,432,genus,207244,Anaerostipes,FJ947528.1.1381,,,,,,,,,,1522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.0,,,585.0,,,,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,231.0,
433,433,genus,946234,Flavonifractor,GU086207.1.1483,,,,,,,,,,220.0,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,
434,434,genus,122277,Pectobacterium,JENG01000025.21.1543,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,435,genus,1578,Lactobacillus,JF965391.1.1447,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,436,genus,816,Bacteroides,JGDP01000111.21.1535,,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,437,genus,162289,Peptoniphilus,JN837491.1.1482,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,438,genus,82976,Buttiauxella,JN993998.1.1405,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,439,genus,1392389,Intestinimonas,JX101685.1.1488,,,,,,,,,,11.0,,,,,,,12.0,13.0,,,,,,2.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,2.0,,,,,,,,,2.0,,,11.0,,,,,24.0,,,,,,,,,,,,
440,440,species_group,1344959,Citrobacter freundii complex,KC489166.1.1438,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,441,genus,836,Porphyromonas,KM360064.1.1408,,,,,,,,,,66.0,,445.0,,,,,,,,,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,,,,,,,,260.0,,,,690.0,,58.0,,,,,,,,,,,,,,,,195.0,,,,,,,,,,325.0,,,,,385.0
442,442,genus,1508657,Ruminiclostridium,NG_041947.1,,,,,,,,,,529.0,,,,,,,,,,,,501.0,,,,,,,,,,,,,,,,,,746.0,,,,,,,741.0,,,,,,,,,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,1588.0,,,,,,,,,,,,,,,,,,
443,443,species,1510,Thermoclostridium stercorarium,NR_025100.1,,,,,,,,,,1508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,444,genus,40544,Sutterella,NR_025600.1,,,,,,,,,,1212.0,,,,,,,,2905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218.0,,,,,,,,,,,,,,,,,,5764.0,,,,,584.0,3888.0,,,,,,,,,,,2770.0,,,,,,,,,,,,,,,,
445,445,genus,1730,Eubacterium,NR_026330.1,,,,,,,,,,4784.0,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,,546.0,,,3051.0,,,,,,,,,,,,,,5542.0,,,,,,,2419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.0,,,
446,446,genus,1506553,Lachnoclostridium,NR_074613.1,,,,,,,,,,1677.0,,,,,,,74.0,,,,,,,,,,,,,,2675.0,,,,,1415.0,,,,,,,,,,,,,,,,,,,,3932.0,,,,,,,,,,,134.0,,,3428.0,270.0,,,,,,,,,,,,,,,,,765.0,243.0,,,,,,,,,,,
447,447,genus,620,Shigella,NR_074891.1,,,,,,,,,,859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,448,family,186804,Peptostreptococcaceae,NR_104843.1,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,
449,449,genus,33024,Phascolarctobacterium,NR_112902.1,,,,,,,,,,783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,
450,450,species,818,Bacteroides thetaiotaomicron,NR_113067.1,,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,451,genus,1485,Clostridium,NR_121758.1,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,452,genus,816,Bacteroides,AB214328.1.1484,,,,,,,,,,,1112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,453,genus,816,Bacteroides,AB222700.1.1488,,,,,,,,,,,1311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994.0,4910.0,,,,,,,,,,,,,,,,,,,,,,,,
454,454,genus,1678,Bifidobacterium,AB433856.1.1477,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,,,,,,,,,,,,,,,,,,,,,,
455,455,genus,816,Bacteroides,AB531490.1.1488,,,,,,,,,,,2846.0,,,,,,,,,,,,,,,,,,,,561.0,,,,,1037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079.0,,559.0,,,,,,3152.0,,,,,,,
456,456,genus,836,Porphyromonas,AB547667.1.1486,,,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,457,genus,239759,Alistipes,AB554230.1.1487,,,,,,,,,,,817.0,,,,,1681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.0,,,,3911.0,,,,,,,,,,,,,,,,,,
458,458,genus,816,Bacteroides,AB599950.1.1411,,,,,,,,,,,4712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,459,genus,207244,Anaerostipes,ABAX03000028.532.2053,,,,,,,,,,,667.0,,,,,,,,,,,,,,,458.0,,,,,,,,,38.0,,,,,,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,,,,,87.0,,,,,,,,,,,,,,,,169.0,,
460,460,genus,165779,Anaerococcus,ACGC01000107.40.1553,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
461,461,genus,397864,Barnesiella,ADLE01000001.1593.3112,,,,,,,,,,,4036.0,,,,,,,3370.0,,,,,,,,,,,,,544.0,,,,,,,,,,,,,,,,,,,,,491.0,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,1344.0,,,,,,,,,,,,,,,,
462,462,genus,1678,Bifidobacterium,AF432082.1.1445,,,,,,,,,,,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,463,family,186803,Lachnospiraceae,AGEL01000006.263.1781,,,,,,,,,,,193.0,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,29.0,,77.0,,,,,,,,,,,,,,,,,,,,65.0,,,99.0,105.0,,,,,,,,,,261.0,
464,464,genus,816,Bacteroides,AGXU01000026.3443.4959,,,,,,,,,,,1598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,465,genus,816,Bacteroides,ASSO01000012.330141.331655,,,,,,,,,,,764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,466,genus,816,Bacteroides,BAKM01000113.302.1808,,,,,,,,,,,853.0,,,,,,,,,,,,,,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,,,,,,,,,,,,,,,,,529.0,
467,467,genus,1243,Leuconostoc,CP001758.925273.926830,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,468,genus,904,Acidaminococcus,EF028677.1.1366,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,469,genus,830,Butyrivibrio,FR733670.1.1511,,,,,,,,,,,42.0,,,58.0,,,,,53.0,,,,,74.0,,,,,,,,,74.0,,,,,310.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,23.0,,,,,,,,,,,73.0,,,,,104.0,,,
470,470,genus,906,Megasphaera,FW350124.11.1553,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,
471,471,genus,1350,Enterococcus,KF574953.1.1444,,,,,,,,,,,768.0,,,192.0,,,,,568.0,,,,,,88.0,,,,,,35.0,,,,,,14.0,,,,,,,,,,98.0,,,,417.0,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,,,,
472,472,family,543314,Clostridiales Family XIII. Incertae Sedis,NR_036993.1,,,,,,,,,,,911.0,,,,2513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,,,,,,
473,473,genus,1485,Clostridium,NR_043235.1,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,
474,474,genus,816,Bacteroides,NR_113353.1,,,,,,,,,,,2046.0,,,4203.0,,,,,,432.0,1004.0,,,,,,,,,,,,3331.0,,,,861.0,,,,,53.0,,284.0,,,,,,,,635.0,,,,,5461.0,,,,,,,,,,1015.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,1822.0
475,475,genus,360541,Sporacetigenium,NR_119336.1,,,,,,,,,,,74.0,,,,,,,,,,,,,,77.0,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,
476,476,genus,375288,Parabacteroides,AB261128.1.1492,,,,,,,,,,,,427.0,,,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,477,genus,816,Bacteroides,AB510706.1.1480,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,2615.0,740.0,,,877.0,,,,,,,,,,1174.0,,,,,,,,,,2890.0,,,,,,,,,,,,,,,,,,1429.0,,,,,,,,,5747.0,,,,,,,,,,,,,,,,,
478,478,genus,397864,Barnesiella,AB547647.1.1481,,,,,,,,,,,,1551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.0,,,,,,,,,,,,,,,,,,,,
479,479,genus,283168,Odoribacter,AB547648.1.1487,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,199.0,,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0,,,,,,,,,,,,,,,,,,,,,
480,480,genus,848,Fusobacterium,AB640694.1.1469,,,,,,,,,,,,1641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,481,family,171552,Prevotellaceae,AF183403.1.1453,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,,,
482,482,genus,40544,Sutterella,AJ832129.1.1391,,,,,,,,,,,,5589.0,,500.0,,,,,,,,,,,,666.0,,,,,,,832.0,,,,,,,4041.0,,,,,2648.0,,,,,,,,,,,,,,5710.0,,,,,5739.0,3932.0,,,,,,,,,,,,1143.0,,5691.0,,2323.0,4545.0,,,4638.0,,811.0,,,4956.0,,,,,,,,,,2058.0
483,483,genus,816,Bacteroides,AKBX01000006.261100.262606,,,,,,,,,,,,107.0,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,484,genus,239934,Akkermansia,CCDQ010000005.84258.85749,,,,,,,,,,,,893.0,,75.0,,,,,,,211.0,,,,,,889.0,,,,,,,,685.0,,,,,,,,,,,,,1708.0,,,201.0,,,,,,,,,,,,,,,15.0,,,,236.0,,,,,,,,1287.0,,,,,,,,,,,,,,,,,,,,,,
485,485,genus,1505663,Erysipelatoclostridium,DQ100445.1.1484,,,,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,48.0,,,,,,,,,
486,486,genus,906,Megasphaera,DQ223730.1.1553,,,,,,,,,,,,8.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,
487,487,genus,1578,Lactobacillus,GU138530.1.1470,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,488,genus,946234,Flavonifractor,GU968163.1.1495,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,
489,489,genus,572511,Blautia,HM626177.1.1372,,,,,,,,,,,,1560.0,,,,,56.0,,,1174.0,313.0,,,,539.0,,,,1520.0,,,797.0,3565.0,,,406.0,1066.0,,624.0,,,,,,1542.0,,,4007.0,,,,,,,2616.0,,,,,1487.0,,829.0,,,,,611.0,,,,71.0,,,,,,,,,,575.0,652.0,628.0,,,,,,,,,,,,,1379.0,,,619.0,
490,490,genus,816,Bacteroides,JNHO01000008.346334.347846,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,491,genus,1485,Clostridium,NR_026490.1,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,492,genus,816,Bacteroides,NR_042203.1,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,493,genus,2094023,Glaesserella,NR_042879.1,,,,,,,,,,,,1829.0,,,,,501.0,,,,3020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0,,,,1980.0,,,,,,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,
494,494,genus,1263,Ruminococcus,NR_074399.1,,,,,,,,,,,,1476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,1243.0,,,,,,,,,,,,,652.0,,,,,,,,,,,,,,,,,,,,,
495,495,genus,816,Bacteroides,NR_113071.1,,,,,,,,,,,,288.0,,,,726.0,,263.0,,2844.0,,,,,,,,3595.0,,,,,,,,,,,,,,,,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.0,,,1471.0,,,,,,,,,,,,,
496,496,genus,838,Prevotella,NR_113098.1,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,497,genus,872,Desulfovibrio,NR_115709.1,,,,,,,,,,,,67.0,,,,,,,107.0,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,498,genus,162289,Peptoniphilus,NR_125607.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
499,499,genus,2147,Acholeplasma,U14906.1.1490,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,500,genus,122277,Pectobacterium,U80198.1.1458,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,501,genus,816,Bacteroides,AB253726.1.1456,,,,,,,,,,,,,1243.0,,,2985.0,,,,,,,,,,,,965.0,,840.0,,,,,,,,,,,,,,,1137.0,,,,,,,,,,,,,,,,,,,,4555.0,,,,,,,,,,,,,,,,,,,,,,,,,1785.0,,,,,,,1210.0,2144.0,,
502,502,genus,816,Bacteroides,AB253731.1.1463,,,,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.0,,,,,,,,,,,,,,,,,,,,,,1137.0,,,,,,,,,,,,,,,,,,,,
503,503,genus,1301,Streptococcus,AB501126.1.1550,,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,504,genus,239759,Alistipes,AB554232.1.1488,,,,,,,,,,,,,828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,505,genus,572511,Blautia,AB588023.1.1491,,,,,,,,,,,,,1301.0,,,38.0,221.0,,,,,,,192.0,,,,,,,,1198.0,,,,,,,,,,,,,769.0,,,1166.0,790.0,,,,,,1046.0,,,,,,,,,,,,296.0,,,,,1624.0,,,,412.0,,,,492.0,428.0,,3262.0,,598.0,,,,,,,611.0,,,,615.0,,,,
506,506,genus,848,Fusobacterium,ACDC03000040.49.1542,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,507,genus,39948,Dialister,ADLT01000002.1542.3098,,,,,,,,,,,,,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.0,,,,,,,,,,,,1293.0,,,,,,,,,,,,,,,,,,,,,,,,,,1787.0,,,,,,,
508,508,family,186803,Lachnospiraceae,ADLU01000111.254.1772,,,,,,,,,,,,,157.0,,,,,,,,,,,,,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,509,genus,133925,Olsenella,AJ585206.1.1357,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,40.0,,,,,,,,,,,,,,,
510,510,genus,816,Bacteroides,AJ867047.1.1475,,,,,,,,,,,,,1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,511,genus,1301,Streptococcus,AM946015.18012.19555,,,,,,,,,,,,,508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,512,genus,29465,Veillonella,AY355138.1.1396,,,,,,,,,,,,,59.0,,,,,,182.0,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,52.0,,,,,,,,,,,,,,,,,,,,,
513,513,species,818,Bacteroides thetaiotaomicron,AY895205.1.1356,,,,,,,,,,,,,5265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,514,genus,82976,Buttiauxella,CP003026.4624193.4625719,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,515,species,102684,Streptococcus infantarius,DD411276.1.1508,,,,,,,,,,,,,2351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,516,genus,946234,Flavonifractor,EU541439.1.1500,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,126.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
517,517,genus,158846,Megamonas,FJ489251.1.1478,,,,,,,,,,,,,78.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
